Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
3.66,-0.84,-2.13,-1.69,-2.98,0.025,0.0366,-0.0084,-0.0213,-0.0169,-0.0298,0.00025
0.92,0.38,-1.01,-1.69,-1.53,0.025,0.0092,0.0038,-0.0101,-0.0169,-0.0153,0.00025
0.03,0.46,-0.67,-0.97,0.53,0.025,0.0003,0.0046,-0.0067,-0.0097,0.0053,0.00025
-0.12,-0.33,1.16,1.32,0.96,0.025,-0.0012,-0.0033,0.0116,0.0132,0.0096,0.00025
-2.52,0.27,1.88,2.61,2.07,0.025,-0.0252,0.0027,0.0188,0.0261,0.0207,0.00025
0,0.71,-0.33,0.45,-0.16,0.025,0,0.0071,-0.0033,0.0045,-0.0016,0.00025
0.91,-0.92,1.25,0.67,0.12,0.025,0.0091,-0.0092,0.0125,0.0067,0.0012,0.00025
0.74,-0.84,1.82,2.01,1.57,0.025,0.0074,-0.0084,0.0182,0.0201,0.0157,0.00025
2.75,0.03,-1.65,-2.11,-1.39,0.025,0.0275,0.0003,-0.0165,-0.0211,-0.0139,0.00025
-0.48,-0.07,0.49,-0.17,0.17,0.024,-0.0048,-0.0007,0.0049,-0.0017,0.0017,0.00024
1.05,0.96,-1.28,-1.23,-0.62,0.024,0.0105,0.0096,-0.0128,-0.0123,-0.0062,0.00024
-0.03,0.74,-1.21,-0.53,-0.42,0.024,-0.0003,0.0074,-0.0121,-0.0053,-0.0042,0.00024
0.13,-0.77,0.53,0.34,0.9,0.024,0.0013,-0.0077,0.0053,0.0034,0.009,0.00024
-0.08,0.32,-0.33,-0.23,-0.25,0.024,-0.0008,0.0032,-0.0033,-0.0023,-0.0025,0.00024
-1.97,0.78,2.16,1.9,2.24,0.024,-0.0197,0.0078,0.0216,0.019,0.0224,0.00024
-0.96,-0.15,0.8,1.81,0.46,0.024,-0.0096,-0.0015,0.008,0.0181,0.0046,0.00024
-2.69,0.05,2.31,1.05,2.12,0.024,-0.0269,0.0005,0.0231,0.0105,0.0212,0.00024
-1.39,0.39,1.71,1.82,-0.28,0.024,-0.0139,0.0039,0.0171,0.0182,-0.0028,0.00024
2.66,-0.72,-1.84,-1.71,-1.76,0.024,0.0266,-0.0072,-0.0184,-0.0171,-0.0176,0.00024
0.6,-0.02,0.07,-0.02,0.17,0.024,0.006,-0.0002,0.0007,-0.0002,0.0017,0.00024
-1.67,-0.14,1.62,1.47,1.21,0.024,-0.0167,-0.0014,0.0162,0.0147,0.0121,0.00024
-0.52,0.8,0.44,1.07,0.49,0.024,-0.0052,0.008,0.0044,0.0107,0.0049,0.00024
-2.46,0.13,1.38,2.38,1.28,0.024,-0.0246,0.0013,0.0138,0.0238,0.0128,0.00024
-0.05,-0.73,0.72,1.57,0.71,0.024,-0.0005,-0.0073,0.0072,0.0157,0.0071,0.00024
-2.12,0.14,1.96,1.41,0.86,0.024,-0.0212,0.0014,0.0196,0.0141,0.0086,0.00024
