"","V1"
"2588",0.01107836
"2589",0.0008321844
"2590",-0.01626798
"2591",0.004501141
"2592",0.008016045
"2593",-0.001029517
"2594",0.002251321
"2595",0.007088267
"2596",-0.004315704
"2597",-0.02366964
"2598",0.006431958
"2599",0.01285018
"2600",-0.01679781
"2601",0.01302526
"2602",-0.0241372
"2603",-0.006618342
"2604",-0.03289844
"2605",-0.01543665
"2606",0.0430247
"2607",-0.003413076
"2608",0.01363599
"2609",-0.0122295
"2610",-0.01898898
"2611",0.001098753
"2612",-0.01430763
"2613",-0.005153469
"2614",-0.0397658
"2615",0.01490263
"2616",-0.01300205
"2617",0.0003438749
"2618",-0.005687079
"2619",0.03233731
"2620",-0.01246189
"2621",-0.01732435
"2622",0.02550443
"2623",0.004033192
"2624",-0.03502744
"2625",-0.01363447
"2626",0.01090627
"2627",-0.005969397
"2628",0.02906985
"2629",0.004360116
"2630",-0.001816294
"2631",0.02321245
"2632",-0.0005660892
"2633",0.001272186
"2634",0.001306264
"2635",-0.003874298
"2636",-0.01621122
"2637",-0.00299994
"2638",-0.01695628
"2639",0.002845283
"2640",-0.00204601
"2641",-0.03151823
"2642",-0.01017445
"2643",-0.003255713
"2644",-0.004683272
"2645",0.005334726
"2646",0.03084002
"2647",0.009358655
"2648",0.007168064
"2649",0.0007226335
"2650",0.01525182
"2651",-0.0001651438
"2652",0.001185388
"2653",-0.02925291
"2654",0.005954069
"2655",0.01134187
"2656",-0.0129127
"2657",0.02225369
"2658",0.00817642
"2659",0.01112791
"2660",-0.001059908
"2661",-0.006956033
"2662",-0.004177293
"2663",5.349784e-05
"2664",0.02177353
"2665",-0.004817894
"2666",0.006022878
"2667",-0.001279329
"2668",-0.003720916
"2669",0.005458087
"2670",-0.005995281
"2671",-0.02859341
"2672",-0.005403267
"2673",-0.00404169
"2674",0.0001104514
"2675",0.01210849
"2676",0.00147168
"2677",-0.01709044
"2678",-0.003679754
"2679",-0.004058491
"2680",-0.01462877
"2681",0.003273945
"2682",-0.007724466
"2683",0.01644071
"2684",-0.01483861
"2685",0.000380718
"2686",0.02906774
"2687",0.009029853
"2688",0.01312239
"2689",-0.01154749
"2690",0.006408059
"2691",0.004810652
"2692",0.004841545
"2693",0.01105913
"2694",-0.0007233732
"2695",0.003524883
"2696",-0.00037441
"2697",0.0008165144
"2698",0.01508529
"2699",-0.002577313
"2700",-0.004847173
"2701",-0.00837624
"2702",0.02096292
"2703",-0.005693553
"2704",0.004828661
"2705",-0.002601113
"2706",-0.003098486
"2707",0.004396714
